number,user_id,type,balance,status,created_at,interest_rate
100001,1,checking,6750.11,True,2025-02-13 11:27:15,0.0
100002,2,checking,5882.43,True,2025-02-13 11:27:15,0.0
100003,3,checking,3882.88,True,2025-02-13 11:27:15,0.0
100004,4,checking,895.68,True,2025-02-13 11:27:15,0.0
100005,5,checking,1016.21,True,2025-02-13 11:27:15,0.0
100006,6,checking,9829.18,True,2025-02-13 11:27:15,0.0
100007,7,checking,9752.9,True,2025-02-13 11:27:15,0.0
100008,8,checking,18215.09,True,2025-02-13 11:27:15,0.0
100009,9,checking,14552.27,True,2025-02-13 11:27:15,0.0
100010,10,checking,5991.91,True,2025-02-13 11:27:15,0.0
100011,11,checking,15215.84,True,2025-02-13 11:27:15,0.0
100012,12,checking,19427.33,True,2025-02-13 11:27:15,0.0
100013,13,checking,1998.0,True,2025-02-13 11:27:15,0.0
100014,14,checking,779.73,True,2025-02-13 11:27:15,0.0
100015,15,checking,4422.57,True,2025-02-13 11:27:15,0.0
100016,16,checking,16435.01,True,2025-02-13 11:27:15,0.0
100017,17,checking,20955.89,True,2025-02-13 11:27:15,0.0
100018,18,checking,18252.78,True,2025-02-13 11:27:15,0.0
100019,19,checking,4626.46,True,2025-02-13 11:27:15,0.0
100020,20,checking,11211.86,True,2025-02-13 11:27:15,0.0
100021,21,checking,16825.57,True,2025-02-13 11:27:15,0.0
100022,22,checking,18745.91,True,2025-02-13 11:27:15,0.0
100023,23,checking,18376.41,True,2025-02-13 11:27:15,0.0
100024,24,checking,19653.53,True,2025-02-13 11:27:15,0.0
100025,25,checking,1440.3,True,2025-02-13 11:27:15,0.0
100026,26,checking,20916.09,True,2025-02-13 11:27:15,0.0
100027,27,checking,18413.4,True,2025-02-13 11:27:15,0.0
100028,28,checking,3710.02,True,2025-02-13 11:27:15,0.0
100029,29,checking,928.6,True,2025-02-13 11:27:15,0.0
100030,30,checking,24200.72,True,2025-02-13 11:27:15,0.0
100031,31,checking,2765.99,True,2025-02-13 11:27:15,0.0
100032,32,checking,20378.29,True,2025-02-13 11:27:15,0.0
100033,33,checking,9844.96,True,2025-02-13 11:27:15,0.0
100034,34,checking,9474.78,True,2025-02-13 11:27:15,0.0
100035,35,checking,15280.63,True,2025-02-13 11:27:15,0.0
100036,36,checking,20884.36,True,2025-02-13 11:27:15,0.0
100037,37,checking,19591.76,True,2025-02-13 11:27:15,0.0
100038,38,checking,12583.79,True,2025-02-13 11:27:15,0.0
100039,39,checking,3237.71,True,2025-02-13 11:27:15,0.0
100040,40,checking,9821.34,True,2025-02-13 11:27:15,0.0
100041,41,checking,13554.3,True,2025-02-13 11:27:15,0.0
100042,42,checking,10418.35,True,2025-02-13 11:27:15,0.0
100043,43,checking,18052.45,True,2025-02-13 11:27:15,0.0
100044,44,checking,4904.3,True,2025-02-13 11:27:15,0.0
100045,45,checking,8829.04,True,2025-02-13 11:27:15,0.0
100046,46,checking,2647.11,True,2025-02-13 11:27:15,0.0
100047,47,checking,6470.04,True,2025-02-13 11:27:15,0.0
100048,48,checking,14617.7,True,2025-02-13 11:27:15,0.0
100049,49,checking,8636.09,True,2025-02-13 11:27:15,0.0
100050,50,checking,22303.34,True,2025-02-13 11:27:15,0.0
100051,51,checking,21176.87,True,2025-02-13 11:27:15,0.0
100052,52,checking,20536.93,True,2025-02-13 11:27:15,0.0
100053,53,checking,1537.86,True,2025-02-13 11:27:15,0.0
100054,54,checking,23041.28,True,2025-02-13 11:27:15,0.0
100055,55,checking,18785.17,True,2025-02-13 11:27:15,0.0
100056,56,checking,21908.17,True,2025-02-13 11:27:15,0.0
100057,57,checking,23090.09,True,2025-02-13 11:27:15,0.0
100058,58,checking,6899.12,True,2025-02-13 11:27:15,0.0
100059,59,checking,10731.86,True,2025-02-13 11:27:15,0.0
100060,60,checking,7089.76,True,2025-02-13 11:27:15,0.0
100061,61,checking,22545.3,True,2025-02-13 11:27:15,0.0
100062,62,checking,17322.6,True,2025-02-13 11:27:15,0.0
100063,63,checking,10811.37,True,2025-02-13 11:27:15,0.0
100064,64,checking,19096.79,True,2025-02-13 11:27:15,0.0
100065,65,checking,19069.75,True,2025-02-13 11:27:15,0.0
100066,66,checking,20477.13,True,2025-02-13 11:27:15,0.0
100067,67,checking,2348.79,True,2025-02-13 11:27:15,0.0
100068,68,checking,7281.1,True,2025-02-13 11:27:15,0.0
100069,69,checking,7673.56,True,2025-02-13 11:27:15,0.0
100070,70,checking,10322.33,True,2025-02-13 11:27:15,0.0
100071,71,checking,20223.96,True,2025-02-13 11:27:15,0.0
100072,72,checking,7930.1,True,2025-02-13 11:27:15,0.0
100073,73,checking,21558.29,True,2025-02-13 11:27:15,0.0
100074,74,checking,3178.37,True,2025-02-13 11:27:15,0.0
100075,75,checking,14511.18,True,2025-02-13 11:27:15,0.0
100076,76,checking,4275.67,True,2025-02-13 11:27:15,0.0
100077,77,checking,17609.41,True,2025-02-13 11:27:15,0.0
100078,78,checking,2843.63,True,2025-02-13 11:27:15,0.0
100079,79,checking,6855.49,True,2025-02-13 11:27:15,0.0
100080,80,checking,19175.22,True,2025-02-13 11:27:15,0.0
100081,81,checking,14899.84,True,2025-02-13 11:27:15,0.0
100082,82,checking,16367.88,True,2025-02-13 11:27:15,0.0
100083,83,checking,21020.28,True,2025-02-13 11:27:15,0.0
100084,84,checking,14297.55,True,2025-02-13 11:27:15,0.0
100085,85,checking,24725.89,True,2025-02-13 11:27:15,0.0
100086,86,checking,9713.17,True,2025-02-13 11:27:15,0.0
100087,87,checking,4422.4,True,2025-02-13 11:27:15,0.0
100088,88,checking,5638.55,True,2025-02-13 11:27:15,0.0
100089,89,checking,5684.11,True,2025-02-13 11:27:15,0.0
100090,90,checking,3775.7,True,2025-02-13 11:27:15,0.0
100091,91,checking,1378.75,True,2025-02-13 11:27:15,0.0
100092,92,checking,13360.64,True,2025-02-13 11:27:15,0.0
100093,93,checking,8086.19,True,2025-02-13 11:27:15,0.0
100094,94,checking,5815.58,True,2025-02-13 11:27:15,0.0
100095,95,checking,5236.1,True,2025-02-13 11:27:15,0.0
100096,96,checking,23120.17,True,2025-02-13 11:27:15,0.0
100097,97,checking,15556.0,True,2025-02-13 11:27:15,0.0
100098,98,checking,590.69,True,2025-02-13 11:27:15,0.0
100099,99,checking,3591.77,True,2025-02-13 11:27:15,0.0
100100,100,checking,13648.25,True,2025-02-13 11:27:15,0.0
100101,101,checking,11095.38,True,2025-02-13 11:27:15,0.0
100102,102,checking,2875.81,True,2025-02-13 11:27:15,0.0
100103,103,checking,11620.88,True,2025-02-13 11:27:15,0.0
100104,104,checking,1791.89,True,2025-02-13 11:27:15,0.0
100105,105,checking,23351.48,True,2025-02-13 11:27:15,0.0
100106,106,checking,10375.03,True,2025-02-13 11:27:15,0.0
100107,107,checking,19638.0,True,2025-02-13 11:27:15,0.0
100108,108,checking,16145.39,True,2025-02-13 11:27:15,0.0
100109,109,checking,13652.37,True,2025-02-13 11:27:15,0.0
100110,110,checking,6479.96,True,2025-02-13 11:27:15,0.0
100111,111,checking,974.04,True,2025-02-13 11:27:15,0.0
100112,112,checking,17176.0,True,2025-02-13 11:27:15,0.0
100113,113,checking,22635.25,True,2025-02-13 11:27:15,0.0
100114,114,checking,6178.23,True,2025-02-13 11:27:15,0.0
100115,115,checking,11961.23,True,2025-02-13 11:27:15,0.0
100116,116,checking,22195.62,True,2025-02-13 11:27:15,0.0
100117,117,checking,6554.84,True,2025-02-13 11:27:15,0.0
100118,118,checking,6387.02,True,2025-02-13 11:27:15,0.0
100119,119,checking,4351.53,True,2025-02-13 11:27:15,0.0
100120,120,checking,13974.74,True,2025-02-13 11:27:15,0.0
100121,121,checking,111.42,True,2025-02-13 11:27:15,0.0
100122,122,checking,13404.32,True,2025-02-13 11:27:15,0.0
100123,123,checking,4194.95,True,2025-02-13 11:27:15,0.0
100124,124,checking,797.58,True,2025-02-13 11:27:15,0.0
100125,125,checking,16793.25,True,2025-02-13 11:27:15,0.0
100126,126,checking,15829.58,True,2025-02-13 11:27:15,0.0
100127,127,checking,9167.98,True,2025-02-13 11:27:15,0.0
100128,128,checking,18968.91,True,2025-02-13 11:27:15,0.0
100129,129,checking,23390.75,True,2025-02-13 11:27:15,0.0
100130,130,checking,5752.02,True,2025-02-13 11:27:15,0.0
100131,131,checking,22537.67,True,2025-02-13 11:27:15,0.0
100132,132,checking,13819.48,True,2025-02-13 11:27:15,0.0
100133,133,checking,1687.37,True,2025-02-13 11:27:15,0.0
100134,134,checking,6786.06,True,2025-02-13 11:27:15,0.0
100135,135,checking,10245.34,True,2025-02-13 11:27:15,0.0
100136,136,checking,9820.02,True,2025-02-13 11:27:15,0.0
100137,137,checking,21919.26,True,2025-02-13 11:27:15,0.0
100138,138,checking,7241.94,True,2025-02-13 11:27:15,0.0
100139,139,checking,2702.19,True,2025-02-13 11:27:15,0.0
100140,140,checking,8643.86,True,2025-02-13 11:27:15,0.0
100141,141,checking,22169.12,True,2025-02-13 11:27:15,0.0
100142,142,checking,11115.14,True,2025-02-13 11:27:15,0.0
100143,143,checking,14724.35,True,2025-02-13 11:27:15,0.0
100144,144,checking,22315.06,True,2025-02-13 11:27:15,0.0
100145,145,checking,5857.78,True,2025-02-13 11:27:15,0.0
100146,146,checking,543.87,True,2025-02-13 11:27:15,0.0
100147,147,checking,756.02,True,2025-02-13 11:27:15,0.0
