id,first_name,last_name,email,phone,address,date_of_birth,status,gender,job,created_at
1,Yassine,Bouhassoun,yassine.bouhassoun@gmail.com,+212782572811,"758, Rue 95, Al Fida, Casablanca, Maroc",1973-06-27,True,M,Enseignant,2025-02-10 19:46:53
2,Yassine,El Hassani,yassine.elhassani@gmail.com,+212651623659,"105, Rue 59, Médina, Tanger, Maroc",1959-08-11,True,M,Architecte,2025-02-10 19:46:53
3,Yassine,Benslimane,yassine.benslimane@outlook.com,+212717956777,"225, Rue 76, Targa, Marrakech, Maroc",1968-04-04,True,M,Chef d'Entreprise,2025-02-10 19:46:53
4,Driss,Benali,driss.benali@gmail.com,+212763806313,"794, Rue 98, Hivernage, Marrakech, Maroc",1960-06-14,True,M,Pharmacien,2025-02-10 19:46:53
5,Ilyas,Alaoui,ilyas.alaoui@hotmail.com,+212633269047,"910, Rue 45, Marchane, Tanger, Maroc",2000-04-25,True,M,Entrepreneur,2025-02-10 19:46:53
6,Adam,Benhaddou,adam.benhaddou@yahoo.fr,+212639725150,"877, Rue 13, Al Fida, Casablanca, Maroc",1995-08-03,True,M,Banquier,2025-02-10 19:46:53
7,Fatima,El Mokri,fatima.elmokri@yahoo.fr,+212791459615,"413, Rue 6, Taddart, Agadir, Maroc",1977-02-16,True,F,Responsable RH,2025-02-10 19:46:53
8,Abderrahim,Sabri,abderrahim.sabri@hotmail.com,+212645897825,"123, Rue 25, Route Ain Chkef, Fes, Maroc",1967-11-30,True,M,Directeur Commercial,2025-02-10 19:46:53
9,Ahmed,Belghiti,ahmed.belghiti@yahoo.fr,+212679139294,"511, Rue 77, Centre Ville, Agadir, Maroc",1978-10-26,True,M,Pharmacien,2025-02-10 19:46:53
10,Samia,El Harrak,samia.elharrak@yahoo.fr,+212629879726,"20, Rue 70, Malabata, Tanger, Maroc",1971-02-22,True,F,Médecin,2025-02-10 19:46:53
11,Redouane,Tahiri,redouane.tahiri@yahoo.fr,+212734230914,"817, Rue 14, Saiss, Fes, Maroc",1988-06-03,True,M,Banquier,2025-02-10 19:46:53
12,Ghita,Bennis,ghita.bennis@gmail.com,+212691471542,"232, Rue 59, Founty, Agadir, Maroc",1982-01-16,True,F,Développeur,2025-02-10 19:46:53
13,Malik,El Fathi,malik.elfathi@yahoo.fr,+212656712154,"826, Rue 77, Aviation, Rabat, Maroc",1981-01-10,True,M,Professeur,2025-02-10 19:46:53
14,Abdelhadi,El Othmani,abdelhadi.elothmani@gmail.com,+212628185783,"439, Rue 88, Zouagha, Fes, Maroc",1967-09-04,True,M,Pharmacien,2025-02-10 19:46:53
15,Ibtissam,Idrissi,ibtissam.idrissi@gmail.com,+212666120708,"374, Rue 23, Targa, Marrakech, Maroc",1963-05-21,True,F,Gestionnaire,2025-02-10 19:46:53
16,Redouane,El Malki,redouane.elmalki@outlook.com,+212741657360,"45, Rue 97, Bourgogne, Casablanca, Maroc",1958-03-20,True,M,Médecin,2025-02-10 19:46:53
17,Rachida,El Amiri,rachida.elamiri@outlook.com,+212744614649,"630, Rue 69, Iberia, Tanger, Maroc",1992-08-05,True,F,Avocat,2025-02-10 19:46:53
18,Abdellah,Bouzoubaa,abdellah.bouzoubaa@gmail.com,+212664135178,"271, Rue 96, Palmeraie, Marrakech, Maroc",1961-07-01,True,M,Comptable,2025-02-10 19:46:53
19,Omar,El Idrissi,omar.elidrissi@hotmail.com,+212664108399,"241, Rue 79, Hay Riad, Rabat, Maroc",1974-01-27,True,M,Entrepreneur,2025-02-10 19:46:53
20,Latifa,Benkirane,latifa.benkirane@outlook.com,+212688377609,"234, Rue 7, Route Ain Chkef, Fes, Maroc",1956-06-30,True,F,Entrepreneur,2025-02-10 19:46:53
21,Hicham,Bennani,hicham.bennani@gmail.com,+212663911595,"663, Rue 34, Guéliz, Marrakech, Maroc",1998-01-10,True,M,Chef d'Entreprise,2025-02-10 19:46:53
22,Zineb,El Kadiri,zineb.elkadiri@outlook.com,+212727141063,"645, Rue 85, Taddart, Agadir, Maroc",1964-12-23,True,F,Gestionnaire,2025-02-10 19:46:53
23,Chaima,Benali,chaima.benali@yahoo.fr,+212755918887,"594, Rue 5, Diour Jamaa, Rabat, Maroc",1975-04-12,True,F,Gestionnaire,2025-02-10 19:46:53
24,Ghita,Benmoussa,ghita.benmoussa@outlook.com,+212693317318,"757, Rue 52, Targa, Marrakech, Maroc",1997-03-24,True,F,Responsable RH,2025-02-10 19:46:53
25,Samira,Bennasser,samira.bennasser@yahoo.fr,+212644251835,"248, Rue 18, Sidi Belyout, Casablanca, Maroc",1961-02-27,True,F,Développeur,2025-02-10 19:46:53
26,Saida,Cherkaoui,saida.cherkaoui@gmail.com,+212664871432,"820, Rue 20, Dakhla, Agadir, Maroc",1987-08-15,True,F,Entrepreneur,2025-02-10 19:46:53
27,Kawtar,Chaoui,kawtar.chaoui@outlook.com,+212645708972,"69, Rue 51, Les Orangers, Rabat, Maroc",1965-07-17,True,F,Entrepreneur,2025-02-10 19:46:53
28,Hafsa,El Harrak,hafsa.elharrak@hotmail.com,+212749275963,"585, Rue 61, Hay Hassani, Casablanca, Maroc",1963-12-15,True,F,Architecte,2025-02-10 19:46:53
29,Khadija,Cherkaoui,khadija.cherkaoui@hotmail.com,+212756434361,"838, Rue 63, Targa, Marrakech, Maroc",1967-12-31,True,F,Entrepreneur,2025-02-10 19:46:53
30,Samira,Benzakour,samira.benzakour@outlook.com,+212635059926,"434, Rue 19, Médina, Tanger, Maroc",1959-03-20,True,F,Professeur,2025-02-10 19:46:53
31,Salim,El Ghazi,salim.elghazi@yahoo.fr,+212749622910,"862, Rue 72, Malabata, Tanger, Maroc",1961-03-26,True,M,Professeur,2025-02-10 19:46:53
32,Ihsane,El Mokri,ihsane.elmokri@gmail.com,+212725081172,"489, Rue 94, Diour Jamaa, Rabat, Maroc",1965-09-27,True,F,Pharmacien,2025-02-10 19:46:53
33,Noura,Cherkaoui,noura.cherkaoui@gmail.com,+212686292273,"675, Rue 94, Médina, Fes, Maroc",1981-04-13,True,F,Commercial,2025-02-10 19:46:53
34,Noura,Lazrak,noura.lazrak@hotmail.com,+212716950963,"251, Rue 1, Les Orangers, Rabat, Maroc",1962-06-12,True,F,Avocat,2025-02-10 19:46:53
35,Dalal,El Malki,dalal.elmalki@yahoo.fr,+212614295502,"513, Rue 51, Hassan, Rabat, Maroc",1960-08-27,True,F,Responsable RH,2025-02-10 19:46:53
