id,first_name,last_name,email,phone,address,date_of_birth,status,gender,job,created_at
1,Ava,Fournier,ava.fournier@hotmail.fr,+33797962975,"176, Rue 85, Montmartre, Paris, France",2001-01-02,True,F,Community Manager,2025-02-13 11:27:15
2,Jacob,Guerin,jacob.guerin@outlook.fr,+33765615682,"735, Rue 90, Champs-Élysées, Paris, France",1999-01-04,True,M,Chef de Projet Digital,2025-02-13 11:27:15
3,Nathan,Bernard,nathan.bernard@yahoo.fr,+33695511423,"44, Rue 84, Gambetta, Bordeaux, France",1998-07-28,True,M,Consultant IT,2025-02-13 11:27:15
4,Zoé,Girard,zoé.girard@outlook.fr,+33656737372,"868, Rue 75, Marais, Paris, France",2002-01-28,True,F,UI Designer,2025-02-13 11:27:15
5,Victoria,Fournier,victoria.fournier@hotmail.fr,+33768408142,"288, Rue 67, Bastide, Bordeaux, France",1997-12-31,True,F,Community Manager,2025-02-13 11:27:15
6,Martin,Andre,martin.andre@gmail.com,+33699379989,"317, Rue 23, Minimes, Toulouse, France",2001-10-30,True,M,Digital Marketing Manager,2025-02-13 11:27:15
7,Aaron,Garcia,aaron.garcia@gmail.com,+33617091928,"818, Rue 71, Champs-Élysées, Paris, France",1999-02-22,True,M,Growth Hacker,2025-02-13 11:27:15
8,Ava,Bernard,ava.bernard@gmail.com,+33638132357,"450, Rue 45, Part-Dieu, Lyon, France",1997-01-08,True,F,UI Designer,2025-02-13 11:27:15
9,Lucas,Legrand,lucas.legrand@gmail.com,+33678433506,"867, Rue 17, Capitole, Toulouse, France",1996-02-22,True,M,Designer UX/UI,2025-02-13 11:27:15
10,Juliette,Muller,juliette.muller@gmail.com,+33656799532,"249, Rue 91, Graslin, Nantes, France",2002-01-31,True,F,Digital Marketing Manager,2025-02-13 11:27:15
11,Inès,Morel,inès.morel@yahoo.fr,+33619375533,"306, Rue 44, Marais, Paris, France",2004-08-30,True,F,DevOps Engineer,2025-02-13 11:27:15
12,Martin,Muller,martin.muller@yahoo.fr,+33774468794,"796, Rue 61, Montmartre, Paris, France",2004-10-13,True,M,Frontend Developer,2025-02-13 11:27:15
13,Sophie,Mathieu,sophie.mathieu@yahoo.fr,+33798383903,"744, Rue 36, Montmartre, Paris, France",2005-01-08,True,F,Full Stack Developer,2025-02-13 11:27:15
14,Léonie,Mercier,léonie.mercier@outlook.fr,+33776494888,"896, Rue 58, Quartier Latin, Paris, France",1998-12-29,True,F,Digital Marketing Manager,2025-02-13 11:27:15
15,Benjamin,David,benjamin.david@gmail.com,+33705853639,"230, Rue 31, Capitole, Toulouse, France",2004-10-12,True,M,Digital Marketing Manager,2025-02-13 11:27:15
16,Juliette,Roussel,juliette.roussel@gmail.com,+33743323258,"195, Rue 27, Le Panier, Marseille, France",1998-07-14,True,F,UI Designer,2025-02-13 11:27:15
17,Charlotte,Martinez,charlotte.martinez@yahoo.fr,+33755686441,"12, Rue 80, Talensac, Nantes, France",1999-06-10,True,F,Full Stack Developer,2025-02-13 11:27:15
18,Sofia,Lefebvre,sofia.lefebvre@hotmail.fr,+33744302310,"975, Rue 71, Talensac, Nantes, France",2005-03-16,True,F,Mobile Developer,2025-02-13 11:27:15
19,Evan,Rousseau,evan.rousseau@gmail.com,+33761940817,"368, Rue 10, Saint-Pierre, Bordeaux, France",2006-11-23,True,M,DevOps Engineer,2025-02-13 11:27:15
20,Emilia,Lefebvre,emilia.lefebvre@outlook.fr,+33791991817,"548, Rue 38, Confluence, Lyon, France",2000-06-30,True,F,Chef de Projet Digital,2025-02-13 11:27:15
21,Victoria,Roux,victoria.roux@gmail.com,+33786280356,"250, Rue 30, Île de Nantes, Nantes, France",2000-08-15,True,F,Startup Founder,2025-02-13 11:27:15
22,Simon,Vincent,simon.vincent@outlook.fr,+33797547528,"569, Rue 78, Champs-Élysées, Paris, France",2005-10-16,True,M,Chef de Projet Digital,2025-02-13 11:27:15
23,Paul,Moreau,paul.moreau@outlook.fr,+33755414315,"387, Rue 8, Carmes, Toulouse, France",1998-10-11,True,M,Frontend Developer,2025-02-13 11:27:15
24,Sophie,Henry,sophie.henry@hotmail.fr,+33784331456,"666, Rue 62, Talensac, Nantes, France",2005-07-04,True,F,Content Manager,2025-02-13 11:27:15
25,Olivia,Perrin,olivia.perrin@yahoo.fr,+33722069916,"606, Rue 52, Minimes, Toulouse, France",2003-09-17,True,F,Startup Founder,2025-02-13 11:27:15
26,Antoine,Francois,antoine.francois@hotmail.fr,+33799944901,"282, Rue 38, Saint-Michel, Bordeaux, France",2001-01-11,True,M,Full Stack Developer,2025-02-13 11:27:15
27,Jade,Morin,jade.morin@hotmail.fr,+33735986062,"504, Rue 23, Gambetta, Bordeaux, France",2003-05-16,True,F,Digital Marketing Manager,2025-02-13 11:27:15
28,Lou,Lefebvre,lou.lefebvre@outlook.fr,+33753557446,"94, Rue 4, Graslin, Nantes, France",2006-01-25,True,F,Content Manager,2025-02-13 11:27:15
29,Léonie,Perrin,léonie.perrin@hotmail.fr,+33695887313,"953, Rue 80, Talensac, Nantes, France",1998-08-01,True,F,Growth Hacker,2025-02-13 11:27:15
30,Sofia,Richard,sofia.richard@yahoo.fr,+33694212764,"688, Rue 64, Bastille, Paris, France",2004-07-09,True,F,Backend Developer,2025-02-13 11:27:15
31,Chloé,Leroy,chloé.leroy@gmail.com,+33764545749,"191, Rue 77, Capitole, Toulouse, France",2004-03-07,True,F,Consultant IT,2025-02-13 11:27:15
32,David,Michel,david.michel@gmail.com,+33791959633,"821, Rue 80, Bouffay, Nantes, France",2000-04-11,True,M,Designer UX/UI,2025-02-13 11:27:15
33,Simon,Dupont,simon.dupont@yahoo.fr,+33768908719,"308, Rue 53, Saint-Pierre, Bordeaux, France",2001-02-08,True,M,Software Engineer,2025-02-13 11:27:15
34,Ethan,Bertrand,ethan.bertrand@gmail.com,+33798026946,"94, Rue 16, Saint-Aubin, Toulouse, France",2005-10-08,True,M,Data Analyst,2025-02-13 11:27:15
35,Anna,Muller,anna.muller@gmail.com,+33708963655,"718, Rue 69, Carmes, Toulouse, France",2005-01-22,True,F,Community Manager,2025-02-13 11:27:15
36,Sacha,David,sacha.david@outlook.fr,+33722936018,"544, Rue 5, Quartier Latin, Paris, France",2002-09-08,True,M,Data Analyst,2025-02-13 11:27:15
37,Daniel,Faure,daniel.faure@hotmail.fr,+33610468957,"233, Rue 95, Part-Dieu, Lyon, France",1997-03-05,True,M,Digital Marketing Manager,2025-02-13 11:27:15
38,Maxime,Roussel,maxime.roussel@gmail.com,+33605121974,"328, Rue 97, Vieux-Port, Marseille, France",1996-10-30,True,M,Consultant IT,2025-02-13 11:27:15
39,Noah,Lambert,noah.lambert@outlook.fr,+33660483576,"960, Rue 32, Saint-Michel, Bordeaux, France",2002-02-27,True,M,Digital Marketing Manager,2025-02-13 11:27:15
40,Luna,Girard,luna.girard@hotmail.fr,+33730057978,"37, Rue 42, Prado, Marseille, France",1996-08-20,True,F,DevOps Engineer,2025-02-13 11:27:15
41,Raphaël,Roux,raphaël.roux@outlook.fr,+33744223255,"291, Rue 57, Marais, Paris, France",1996-07-12,True,M,Data Analyst,2025-02-13 11:27:15
42,Sophie,Robert,sophie.robert@gmail.com,+33632234073,"538, Rue 79, Graslin, Nantes, France",1998-12-20,True,F,Designer UX/UI,2025-02-13 11:27:15
43,Daniel,Martinez,daniel.martinez@hotmail.fr,+33724557148,"999, Rue 84, Talensac, Nantes, France",2000-10-13,True,M,Data Analyst,2025-02-13 11:27:15
44,Julia,Bonnet,julia.bonnet@outlook.fr,+33700203523,"952, Rue 13, Vieux-Port, Marseille, France",2001-02-20,True,F,Community Manager,2025-02-13 11:27:15
45,Eva,Richard,eva.richard@yahoo.fr,+33793175804,"22, Rue 2, Saint-Cyprien, Toulouse, France",2000-08-10,True,F,Product Owner,2025-02-13 11:27:15
46,Léo,Dupont,léo.dupont@yahoo.fr,+33760400164,"11, Rue 45, Bouffay, Nantes, France",1999-03-10,True,M,Content Manager,2025-02-13 11:27:15
47,Lou,Richard,lou.richard@outlook.fr,+33674852954,"74, Rue 95, Montmartre, Paris, France",2002-11-17,True,F,Backend Developer,2025-02-13 11:27:15
48,Gabin,Francois,gabin.francois@hotmail.fr,+33749643607,"511, Rue 4, Saint-Cyprien, Toulouse, France",2001-08-01,True,M,Growth Hacker,2025-02-13 11:27:15
49,Noah,Rousseau,noah.rousseau@yahoo.fr,+33651725747,"986, Rue 37, Castellane, Marseille, France",2002-04-18,True,M,Growth Hacker,2025-02-13 11:27:15
50,Isaac,Morin,isaac.morin@gmail.com,+33743724085,"948, Rue 24, Graslin, Nantes, France",1998-12-28,True,M,Content Manager,2025-02-13 11:27:15
51,Sacha,David,sacha.david@hotmail.fr,+33647263866,"235, Rue 37, Capitole, Toulouse, France",2006-07-29,True,M,Backend Developer,2025-02-13 11:27:15
52,Emilia,Dupont,emilia.dupont@gmail.com,+33779470878,"636, Rue 39, Saint-Cyprien, Toulouse, France",1997-08-29,True,F,Business Developer,2025-02-13 11:27:15
53,Martin,Robert,martin.robert@outlook.fr,+33773708643,"318, Rue 65, Bouffay, Nantes, France",1997-11-23,True,M,Chef de Projet Digital,2025-02-13 11:27:15
54,Zoé,Petit,zoé.petit@gmail.com,+33673246958,"10, Rue 49, Champs-Élysées, Paris, France",1999-06-13,True,F,UI Designer,2025-02-13 11:27:15
55,Léna,Roux,léna.roux@gmail.com,+33723283686,"800, Rue 31, Champs-Élysées, Paris, France",2005-11-06,True,F,Digital Marketing Manager,2025-02-13 11:27:15
56,Tom,Richard,tom.richard@yahoo.fr,+33745667841,"164, Rue 64, Part-Dieu, Lyon, France",2000-05-13,True,M,DevOps Engineer,2025-02-13 11:27:15
57,Sarah,Petit,sarah.petit@hotmail.fr,+33737206618,"463, Rue 35, Graslin, Nantes, France",1997-06-19,True,F,Startup Founder,2025-02-13 11:27:15
58,Amelia,Bertrand,amelia.bertrand@hotmail.fr,+33778890514,"17, Rue 6, Gambetta, Bordeaux, France",1999-08-04,True,F,Frontend Developer,2025-02-13 11:27:15
59,Léna,Girard,léna.girard@yahoo.fr,+33686697505,"749, Rue 85, Vieux-Port, Marseille, France",2006-09-29,True,F,Startup Founder,2025-02-13 11:27:15
60,Charles,Leroy,charles.leroy@outlook.fr,+33710178264,"822, Rue 12, Montmartre, Paris, France",2000-03-20,True,M,Backend Developer,2025-02-13 11:27:15
61,Joseph,Perrin,joseph.perrin@outlook.fr,+33700898535,"891, Rue 73, Graslin, Nantes, France",2001-10-19,True,M,DevOps Engineer,2025-02-13 11:27:15
62,Adam,Girard,adam.girard@hotmail.fr,+33665230330,"251, Rue 94, Île de Nantes, Nantes, France",1997-09-23,True,M,DevOps Engineer,2025-02-13 11:27:15
63,Nina,Leroy,nina.leroy@outlook.fr,+33788905638,"799, Rue 83, Saint-Pierre, Bordeaux, France",1999-05-04,True,F,UI Designer,2025-02-13 11:27:15
64,Alice,Andre,alice.andre@hotmail.fr,+33793937201,"709, Rue 10, Talensac, Nantes, France",1996-08-09,True,F,Community Manager,2025-02-13 11:27:15
65,Emma,Richard,emma.richard@yahoo.fr,+33700448659,"409, Rue 31, Talensac, Nantes, France",1999-07-15,True,F,Growth Hacker,2025-02-13 11:27:15
66,Hugo,Bertrand,hugo.bertrand@outlook.fr,+33601772705,"551, Rue 56, Saint-Cyprien, Toulouse, France",1996-06-21,True,M,Designer UX/UI,2025-02-13 11:27:15
67,Isabella,Guerin,isabella.guerin@outlook.fr,+33694163135,"913, Rue 63, Confluence, Lyon, France",2001-01-31,True,F,Consultant IT,2025-02-13 11:27:15
68,Victor,Durand,victor.durand@yahoo.fr,+33691669447,"674, Rue 30, Carmes, Toulouse, France",2001-08-30,True,M,Software Engineer,2025-02-13 11:27:15
69,Eden,Bonnet,eden.bonnet@hotmail.fr,+33782222397,"445, Rue 61, Chartrons, Bordeaux, France",2002-04-15,True,M,Startup Founder,2025-02-13 11:27:15
70,Gabin,Nicolas,gabin.nicolas@gmail.com,+33746876736,"556, Rue 18, Bastide, Bordeaux, France",1999-02-08,True,M,Développeur Web,2025-02-13 11:27:15
71,Evan,Roux,evan.roux@gmail.com,+33616415931,"712, Rue 94, Talensac, Nantes, France",2006-07-01,True,M,UI Designer,2025-02-13 11:27:15
72,Alix,Bonnet,alix.bonnet@yahoo.fr,+33692517716,"160, Rue 95, Croix-Rousse, Lyon, France",1998-07-21,True,F,Startup Founder,2025-02-13 11:27:15
73,Simon,Durand,simon.durand@hotmail.fr,+33670636148,"102, Rue 6, Endoume, Marseille, France",2006-11-26,True,M,Community Manager,2025-02-13 11:27:15
74,Emilia,Morel,emilia.morel@gmail.com,+33691947743,"768, Rue 46, Minimes, Toulouse, France",2001-07-18,True,F,Data Analyst,2025-02-13 11:27:15
75,Emilia,Roux,emilia.roux@gmail.com,+33782853261,"719, Rue 80, Graslin, Nantes, France",1999-08-30,True,F,Backend Developer,2025-02-13 11:27:15
76,Eden,Andre,eden.andre@yahoo.fr,+33636170314,"949, Rue 79, Bouffay, Nantes, France",1998-10-12,True,M,Développeur Web,2025-02-13 11:27:15
77,Jules,Thomas,jules.thomas@gmail.com,+33754624204,"881, Rue 32, Centre-ville, Nantes, France",2005-02-01,True,M,Software Engineer,2025-02-13 11:27:15
78,Léna,Dupont,léna.dupont@gmail.com,+33783266261,"336, Rue 51, Graslin, Nantes, France",2002-03-27,True,F,Content Manager,2025-02-13 11:27:15
79,Léo,Francois,léo.francois@hotmail.fr,+33750572279,"696, Rue 43, Minimes, Toulouse, France",2002-01-23,True,M,Full Stack Developer,2025-02-13 11:27:15
80,Samuel,Laurent,samuel.laurent@hotmail.fr,+33644684392,"652, Rue 8, Confluence, Lyon, France",2006-12-26,True,M,Développeur Web,2025-02-13 11:27:15
81,Isaac,Richard,isaac.richard@hotmail.fr,+33718434236,"610, Rue 70, Castellane, Marseille, France",2002-09-14,True,M,Startup Founder,2025-02-13 11:27:15
