id,first_name,last_name,email,phone,address,date_of_birth,status,gender,job,created_at
1,Chaima,El Yacoubi,chaima.elyacoubi@outlook.com,0665534519,"966, Rue 90, Gueliz, Marrakech, Maroc",1958-07-27,True,F,Pharmacist,2025-02-07 16:24:17
2,Adil,Chraibi,adil.chraibi@outlook.com,0715675126,"28, Rue 11, Ben M'Sick, Casablanca, Maroc",1970-03-11,True,M,Lawyer,2025-02-07 16:24:17
3,Imane,Bensouda,imane.bensouda@outlook.com,0693896872,"167, Rue 100, Hassan, Rabat, Maroc",1983-12-22,True,F,Professor,2025-02-07 16:24:17
4,Dounia,Ramdani,dounia.ramdani@gmail.com,0736037337,"256, Rue 98, Aviation, Rabat, Maroc",1970-06-12,True,F,Civil Servant,2025-02-07 16:24:17
5,Rania,Benamour,rania.benamour@hotmail.com,0685434475,"351, Rue 29, Targa, Marrakech, Maroc",1965-12-24,True,F,Architect,2025-02-07 16:24:17
6,Leila,El Kandoussi,leila.elkandoussi@yahoo.fr,0781282708,"259, Rue 35, Hay Mohammadi, Casablanca, Maroc",1992-08-04,True,F,Professor,2025-02-07 16:24:17
7,Oussama,El Hajji,oussama.elhajji@outlook.com,0645145182,"690, Rue 10, Agdal, Rabat, Maroc",1997-09-07,True,M,Pharmacist,2025-02-07 16:24:17
8,Meryem,El Baroudi,meryem.elbaroudi@hotmail.com,0640816667,"564, Rue 41, Hivernage, Marrakech, Maroc",1990-09-11,True,F,Lawyer,2025-02-07 16:24:17
9,Chaima,Benchekroun,chaima.benchekroun@gmail.com,0651337699,"736, Rue 54, Hivernage, Marrakech, Maroc",1974-12-30,True,F,Accountant,2025-02-07 16:24:17
10,Sanaa,El Hassani,sanaa.elhassani@hotmail.com,0691622820,"272, Rue 48, Val Fleuri, Tangier, Maroc",1986-05-01,True,F,Dentist,2025-02-07 16:24:17
11,Salma,Idrissi,salma.idrissi@yahoo.fr,0645901591,"244, Rue 70, Sidi Bernoussi, Casablanca, Maroc",1983-06-07,True,F,Consultant,2025-02-07 16:24:17
12,Laila,Benamour,laila.benamour@yahoo.fr,0766152400,"826, Rue 46, Medina, Marrakech, Maroc",1994-08-26,True,F,Business Owner,2025-02-07 16:24:17
13,Mohsen,Kabbaj,mohsen.kabbaj@gmail.com,0648204064,"83, Rue 76, Malabata, Tangier, Maroc",1987-01-15,True,M,Accountant,2025-02-07 16:24:17
14,Tariq,Tahiri,tariq.tahiri@yahoo.fr,0716728750,"757, Rue 70, Gauthier, Casablanca, Maroc",1968-03-24,True,M,Bank Officer,2025-02-07 16:24:17
15,Laila,El Mansouri,laila.elmansouri@outlook.com,0614474602,"365, Rue 94, Targa, Marrakech, Maroc",1983-03-11,True,F,Dentist,2025-02-07 16:24:17
16,Soumaya,Benjelloun,soumaya.benjelloun@yahoo.fr,0725977905,"456, Rue 76, Medina, Fes, Maroc",1963-06-21,True,F,Consultant,2025-02-07 16:24:17
17,Nadia,El Bouzidi,nadia.elbouzidi@yahoo.fr,0685983074,"299, Rue 85, 2 Mars, Casablanca, Maroc",1987-07-29,True,F,Doctor,2025-02-07 16:24:17
18,Amine,Benhaddou,amine.benhaddou@yahoo.fr,0675226459,"55, Rue 59, Marchane, Tangier, Maroc",2001-05-08,True,M,Accountant,2025-02-07 16:24:17
19,Chaima,El Hassani,chaima.elhassani@hotmail.com,0645529560,"320, Rue 11, Hassan, Rabat, Maroc",2006-01-17,True,F,Civil Servant,2025-02-07 16:24:17
20,Salma,Benhaddou,salma.benhaddou@gmail.com,0772549924,"553, Rue 42, Anfa, Casablanca, Maroc",1988-05-03,True,F,Civil Servant,2025-02-07 16:24:17
21,Abdelaziz,El Yousfi,abdelaziz.elyousfi@hotmail.com,0680630553,"326, Rue 48, Anfa, Casablanca, Maroc",1967-05-04,True,M,Lawyer,2025-02-07 16:24:17
22,Houda,El Fassi,houda.elfassi@yahoo.fr,0686319676,"350, Rue 7, Ville Nouvelle, Fes, Maroc",1979-06-14,True,F,Engineer,2025-02-07 16:24:17
23,Hayat,Chafik,hayat.chafik@outlook.com,0684192452,"327, Rue 33, Route Immouzer, Fes, Maroc",1984-01-18,True,F,Engineer,2025-02-07 16:24:17
24,Soufiane,Belghiti,soufiane.belghiti@hotmail.com,0657460724,"385, Rue 50, Youssoufia, Rabat, Maroc",1982-10-18,True,M,Engineer,2025-02-07 16:24:17
25,Siham,Belghiti,siham.belghiti@outlook.com,0684090657,"603, Rue 31, Anfa, Casablanca, Maroc",1959-09-14,True,F,Bank Officer,2025-02-07 16:24:17
26,Rachid,El Gharbi,rachid.elgharbi@hotmail.com,0738794529,"687, Rue 78, Atlas, Fes, Maroc",1972-05-22,True,M,Bank Officer,2025-02-07 16:24:17
27,Meryem,Belghiti,meryem.belghiti@hotmail.com,0738969003,"32, Rue 93, Medina, Fes, Maroc",1975-07-08,True,F,Doctor,2025-02-07 16:24:17
28,Abderrahim,Tahiri,abderrahim.tahiri@gmail.com,0634604588,"702, Rue 47, Saiss, Fes, Maroc",2001-07-16,True,M,IT Professional,2025-02-07 16:24:17
29,Ikram,El Kandoussi,ikram.elkandoussi@gmail.com,0719069412,"620, Rue 36, Saiss, Fes, Maroc",1966-11-26,True,F,Sales Manager,2025-02-07 16:24:17
30,Dounia,Tazi,dounia.tazi@gmail.com,0717154113,"19, Rue 97, Hay Riad, Rabat, Maroc",1968-01-11,True,F,IT Professional,2025-02-07 16:24:17
31,Ibrahim,El Fassi,ibrahim.elfassi@outlook.com,0758235086,"309, Rue 78, Amerchich, Marrakech, Maroc",1975-03-26,True,M,Civil Servant,2025-02-07 16:24:17
32,Karim,Lahlou,karim.lahlou@gmail.com,0711941934,"569, Rue 86, Ain Kadous, Fes, Maroc",1968-04-13,True,M,Lawyer,2025-02-07 16:24:17
33,Driss,El Hamidi,driss.elhamidi@yahoo.fr,0621058818,"898, Rue 49, Ain Kadous, Fes, Maroc",2006-12-21,True,M,Pharmacist,2025-02-07 16:24:17
34,Ilham,Ouazzani,ilham.ouazzani@gmail.com,0622408205,"113, Rue 22, Targa, Marrakech, Maroc",1967-01-13,True,F,Lawyer,2025-02-07 16:24:17
35,Tarik,Chraibi,tarik.chraibi@yahoo.fr,0787210496,"199, Rue 75, Saiss, Fes, Maroc",1956-07-10,True,M,Doctor,2025-02-07 16:24:17
36,Soufiane,Tazi,soufiane.tazi@outlook.com,0677998215,"141, Rue 18, Iberia, Tangier, Maroc",1994-08-27,True,M,Consultant,2025-02-07 16:24:17
37,Zineb,El Hajji,zineb.elhajji@hotmail.com,0684473963,"297, Rue 54, Anfa, Casablanca, Maroc",1977-10-11,True,F,Sales Manager,2025-02-07 16:24:17
38,Zineb,El Bouzidi,zineb.elbouzidi@gmail.com,0733122878,"600, Rue 99, Medina, Fes, Maroc",1987-12-01,True,F,Professor,2025-02-07 16:24:17
39,Tarik,Benjelloun,tarik.benjelloun@hotmail.com,0680750959,"562, Rue 87, Ben M'Sick, Casablanca, Maroc",1995-12-15,True,M,Engineer,2025-02-07 16:24:17
40,Ibtissam,El Gharbi,ibtissam.elgharbi@outlook.com,0689714891,"615, Rue 51, Hay Hassani, Casablanca, Maroc",1972-08-04,True,F,Dentist,2025-02-07 16:24:17
41,Wafaa,Hajjami,wafaa.hajjami@gmail.com,0785160868,"422, Rue 85, Gueliz, Marrakech, Maroc",1982-05-26,True,F,Business Owner,2025-02-07 16:24:17
42,Hassan,Tahiri,hassan.tahiri@yahoo.fr,0798376861,"239, Rue 32, Val Fleuri, Tangier, Maroc",1993-05-30,True,M,Civil Servant,2025-02-07 16:24:17
